epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,850.094,0.88182,0.63442,1.01969,0.93102,0.88196,0.95665,0.76834,0.75928,0.51622,0.97666,4.19552e-05,4.19552e-05,4.19552e-05
179,895.504,0.8746,0.63007,1.01436,0.93134,0.88179,0.95659,0.76794,0.75918,0.51616,0.97656,3.9264e-05,3.9264e-05,3.9264e-05
180,928.216,0.8746,0.62946,1.01664,0.93096,0.88126,0.95664,0.76802,0.75917,0.51621,0.97667,3.66877e-05,3.66877e-05,3.66877e-05
181,958.076,0.87007,0.62504,1.01356,0.9317,0.88196,0.95658,0.76809,0.75919,0.51589,0.97653,3.4227e-05,3.4227e-05,3.4227e-05
182,988.142,0.87351,0.6309,1.01482,0.93159,0.88235,0.95665,0.76783,0.75915,0.516,0.97654,3.18825e-05,3.18825e-05,3.18825e-05
183,1017.97,0.87161,0.62911,1.01375,0.93115,0.88371,0.95673,0.76802,0.75912,0.5159,0.9765,2.96546e-05,2.96546e-05,2.96546e-05
184,1047.72,0.87569,0.63338,1.01777,0.93111,0.88354,0.95664,0.76801,0.75903,0.51557,0.97642,2.75441e-05,2.75441e-05,2.75441e-05
185,1077.69,0.87624,0.63154,1.0178,0.92982,0.88511,0.95674,0.76787,0.75901,0.51543,0.9764,2.55513e-05,2.55513e-05,2.55513e-05
186,1107.72,0.87403,0.63218,1.01822,0.93047,0.88424,0.95667,0.76789,0.75893,0.51535,0.97633,2.36769e-05,2.36769e-05,2.36769e-05
187,1137.7,0.87925,0.63638,1.01994,0.93155,0.88426,0.95675,0.76796,0.75893,0.51513,0.97638,2.19212e-05,2.19212e-05,2.19212e-05
188,1167.28,0.87331,0.62946,1.01866,0.93104,0.88426,0.95691,0.76764,0.75877,0.51512,0.97627,2.02847e-05,2.02847e-05,2.02847e-05
